Track 0: 
Track 1: Piano RH
Note 74 (D)| velocity 120 | tempo: 2 | time: 196.72 seconds | frame: 4721 => Midi message: (note_on channel=0 note=74 velocity=120 time=2)
Note 72 (C)| velocity 120 | tempo: 0 | time: 197.00 seconds | frame: 4727 => Midi message: (note_on channel=0 note=72 velocity=120 time=0)
Note 69 (A)| velocity 120 | tempo: 4 | time: 197.28 seconds | frame: 4734 => Midi message: (note_on channel=0 note=69 velocity=120 time=4)
Note 60 (C)| velocity 120 | tempo: 100 | time: 198.13 seconds | frame: 4755 => Midi message: (note_on channel=0 note=60 velocity=120 time=100)
Note 64 (E)| velocity 120 | tempo: 4 | time: 198.41 seconds | frame: 4761 => Midi message: (note_on channel=0 note=64 velocity=120 time=4)
Note 69 (A)| velocity 120 | tempo: 4 | time: 198.70 seconds | frame: 4768 => Midi message: (note_on channel=0 note=69 velocity=120 time=4)
Note 71 (B)| velocity 120 | tempo: 6 | time: 198.99 seconds | frame: 4775 => Midi message: (note_on channel=0 note=71 velocity=120 time=6)
Note 64 (E)| velocity 120 | tempo: 98 | time: 199.84 seconds | frame: 4796 => Midi message: (note_on channel=0 note=64 velocity=120 time=98)
Note 68 (G#)| velocity 120 | tempo: 0 | time: 200.11 seconds | frame: 4802 => Midi message: (note_on channel=0 note=68 velocity=120 time=0)
Note 71 (B)| velocity 120 | tempo: 6 | time: 200.40 seconds | frame: 4809 => Midi message: (note_on channel=0 note=71 velocity=120 time=6)
Note 72 (C)| velocity 120 | tempo: 2 | time: 200.68 seconds | frame: 4816 => Midi message: (note_on channel=0 note=72 velocity=120 time=2)
Note 64 (E)| velocity 120 | tempo: 98 | time: 201.53 seconds | frame: 4836 => Midi message: (note_on channel=0 note=64 velocity=120 time=98)
Note 76 (E)| velocity 120 | tempo: 0 | time: 201.81 seconds | frame: 4843 => Midi message: (note_on channel=0 note=76 velocity=120 time=0)
Note 75 (D#)| velocity 120 | tempo: 6 | time: 202.10 seconds | frame: 4850 => Midi message: (note_on channel=0 note=75 velocity=120 time=6)
Note 76 (E)| velocity 120 | tempo: 2 | time: 202.38 seconds | frame: 4857 => Midi message: (note_on channel=0 note=76 velocity=120 time=2)
Note 75 (D#)| velocity 120 | tempo: 0 | time: 202.66 seconds | frame: 4863 => Midi message: (note_on channel=0 note=75 velocity=120 time=0)
Note 76 (E)| velocity 120 | tempo: 6 | time: 202.95 seconds | frame: 4870 => Midi message: (note_on channel=0 note=76 velocity=120 time=6)
Note 71 (B)| velocity 120 | tempo: 0 | time: 203.23 seconds | frame: 4877 => Midi message: (note_on channel=0 note=71 velocity=120 time=0)
Note 74 (D)| velocity 120 | tempo: 6 | time: 203.51 seconds | frame: 4884 => Midi message: (note_on channel=0 note=74 velocity=120 time=6)
Note 72 (C)| velocity 120 | tempo: 2 | time: 203.80 seconds | frame: 4891 => Midi message: (note_on channel=0 note=72 velocity=120 time=2)
Note 69 (A)| velocity 120 | tempo: 2 | time: 204.08 seconds | frame: 4897 => Midi message: (note_on channel=0 note=69 velocity=120 time=2)
Note 60 (C)| velocity 120 | tempo: 96 | time: 204.92 seconds | frame: 4918 => Midi message: (note_on channel=0 note=60 velocity=120 time=96)
Note 64 (E)| velocity 120 | tempo: 4 | time: 205.21 seconds | frame: 4924 => Midi message: (note_on channel=0 note=64 velocity=120 time=4)
