Track 0: Track 0
Track 1: Für Elise
Note 76 (E)| velocity 76 | tempo: 0 | time: 24.00 seconds | frame: 576 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 74 (D)| velocity 76 | tempo: 0 | time: 24.21 seconds | frame: 581 => Midi message: (note_on channel=0 note=74 velocity=76 time=0)
Note 72 (C)| velocity 76 | tempo: 0 | time: 24.43 seconds | frame: 586 => Midi message: (note_on channel=0 note=72 velocity=76 time=0)
Note 45 (A)| velocity 64 | tempo: 0 | time: 24.43 seconds | frame: 586 => Midi message: (note_on channel=0 note=45 velocity=64 time=0)
Note 52 (E)| velocity 76 | tempo: 0 | time: 24.64 seconds | frame: 591 => Midi message: (note_on channel=0 note=52 velocity=76 time=0)
Note 57 (A)| velocity 76 | tempo: 0 | time: 24.86 seconds | frame: 596 => Midi message: (note_on channel=0 note=57 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 25.07 seconds | frame: 601 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 74 (D)| velocity 76 | tempo: 0 | time: 25.29 seconds | frame: 606 => Midi message: (note_on channel=0 note=74 velocity=76 time=0)
Note 72 (C)| velocity 76 | tempo: 0 | time: 25.50 seconds | frame: 612 => Midi message: (note_on channel=0 note=72 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 25.71 seconds | frame: 617 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 40 (E)| velocity 64 | tempo: 0 | time: 25.71 seconds | frame: 617 => Midi message: (note_on channel=0 note=40 velocity=64 time=0)
Note 52 (E)| velocity 76 | tempo: 0 | time: 25.93 seconds | frame: 622 => Midi message: (note_on channel=0 note=52 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 26.14 seconds | frame: 627 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 26.36 seconds | frame: 632 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 26.57 seconds | frame: 637 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 26.79 seconds | frame: 642 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 27.00 seconds | frame: 648 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 76 (E)| velocity 70 | tempo: 0 | time: 27.21 seconds | frame: 653 => Midi message: (note_on channel=0 note=76 velocity=70 time=0)
Note 88 (E)| velocity 64 | tempo: 0 | time: 27.43 seconds | frame: 658 => Midi message: (note_on channel=0 note=88 velocity=64 time=0)
Note 75 (D#)| velocity 70 | tempo: 0 | time: 27.64 seconds | frame: 663 => Midi message: (note_on channel=0 note=75 velocity=70 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 27.86 seconds | frame: 668 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 75 (D#)| velocity 76 | tempo: 0 | time: 28.07 seconds | frame: 673 => Midi message: (note_on channel=0 note=75 velocity=76 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 28.29 seconds | frame: 678 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 75 (D#)| velocity 76 | tempo: 0 | time: 28.50 seconds | frame: 684 => Midi message: (note_on channel=0 note=75 velocity=76 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 28.71 seconds | frame: 689 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 28.93 seconds | frame: 694 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 74 (D)| velocity 70 | tempo: 0 | time: 29.14 seconds | frame: 699 => Midi message: (note_on channel=0 note=74 velocity=70 time=0)
